arm,path,standard,requirement_id,status,evidence_types,evidence_count
A,native,ASVS,V1.1.1,not-verified,,0
A,native,ASVS,V1.1.2,partial,template-control,1
A,native,ASVS,V1.2.1,pass,dast|scanner|template-control|test,6
A,native,ASVS,V1.2.2,pass,dast|scanner|template-control|test,5
A,native,ASVS,V1.2.3,partial,scanner,1
A,native,ASVS,V1.2.4,pass,dast|scanner|template-control,3
A,native,ASVS,V1.2.5,pass,dast|scanner,2
A,native,ASVS,V1.2.6,not-applicable,,0
A,native,ASVS,V1.2.7,not-applicable,,0
A,native,ASVS,V1.2.8,not-applicable,,0
A,native,ASVS,V1.2.9,not-verified,,0
A,native,ASVS,V1.2.10,out-of-level,,0
A,native,ASVS,V1.3.1,not-applicable,,0
A,native,ASVS,V1.3.2,partial,scanner,1
A,native,ASVS,V1.3.3,not-verified,,0
A,native,ASVS,V1.3.4,not-applicable,,0
A,native,ASVS,V1.3.5,not-applicable,,0
A,native,ASVS,V1.3.6,partial,scanner,1
A,native,ASVS,V1.3.7,not-verified,,0
A,native,ASVS,V1.3.8,not-applicable,,0
A,native,ASVS,V1.3.9,not-applicable,,0
A,native,ASVS,V1.3.10,not-applicable,,0
A,native,ASVS,V1.3.11,not-applicable,,0
A,native,ASVS,V1.3.12,out-of-level,,0
A,native,ASVS,V1.4.1,not-applicable,,0
A,native,ASVS,V1.4.2,not-applicable,,0
A,native,ASVS,V1.4.3,not-applicable,,0
A,native,ASVS,V1.5.1,not-applicable,,0
A,native,ASVS,V1.5.2,not-verified,,0
A,native,ASVS,V1.5.3,out-of-level,,0
A,native,ASVS,V2.1.1,pass,config|template-control,2
A,native,ASVS,V2.1.2,not-verified,,0
A,native,ASVS,V2.1.3,pass,config|template-control,2
A,native,ASVS,V2.2.1,pass,dast|template-control|test,16
A,native,ASVS,V2.2.2,pass,dast|template-control|test,7
A,native,ASVS,V2.2.3,not-verified,,0
A,native,ASVS,V2.3.1,not-verified,,0
A,native,ASVS,V2.3.2,not-verified,,0
A,native,ASVS,V2.3.3,pass,template-control|test,5
A,native,ASVS,V2.3.4,not-verified,,0
A,native,ASVS,V2.3.5,out-of-level,,0
A,native,ASVS,V2.4.1,pass,dast|template-control|test,13
A,native,ASVS,V2.4.2,out-of-level,,0
A,native,ASVS,V3.1.1,out-of-level,,0
A,native,ASVS,V3.2.1,not-applicable,,0
A,native,ASVS,V3.2.2,pass,dast|template-control,3
A,native,ASVS,V3.2.3,out-of-level,,0
A,native,ASVS,V3.3.1,not-applicable,,0
A,native,ASVS,V3.3.2,pass,dast|template-control|test,4
A,native,ASVS,V3.3.3,not-applicable,,0
A,native,ASVS,V3.3.4,pass,dast|template-control,3
A,native,ASVS,V3.3.5,out-of-level,,0
A,native,ASVS,V3.4.1,not-applicable,,0
A,native,ASVS,V3.4.2,pass,dast|template-control|test,4
A,native,ASVS,V3.4.3,pass,dast|template-control|test,4
A,native,ASVS,V3.4.4,pass,dast|template-control|test,4
A,native,ASVS,V3.4.5,pass,dast|template-control|test,4
A,native,ASVS,V3.4.6,pass,dast|template-control,2
A,native,ASVS,V3.4.7,out-of-level,,0
A,native,ASVS,V3.4.8,out-of-level,,0
A,native,ASVS,V3.5.1,pass,dast|template-control|test,10
A,native,ASVS,V3.5.2,not-verified,,0
A,native,ASVS,V3.5.3,pass,dast|template-control|test,5
A,native,ASVS,V3.5.4,not-applicable,,0
A,native,ASVS,V3.5.5,not-applicable,,0
A,native,ASVS,V3.5.6,out-of-level,,0
A,native,ASVS,V3.5.7,out-of-level,,0
A,native,ASVS,V3.5.8,out-of-level,,0
A,native,ASVS,V3.6.1,out-of-level,,0
A,native,ASVS,V3.7.1,not-verified,,0
A,native,ASVS,V3.7.2,pass,dast|template-control|test,8
A,native,ASVS,V3.7.3,out-of-level,,0
